Object	Area_(microns^2)	Perimeter_(microns)	Length_(microns)	Width_(microns)	Circularity	Eccentricity	Solidity	MarginRoughness	BranchCount	AvgBranchLength_(microns)	AvgEndpointDist_(microns)	LongestPathLength_(microns)	MinCoreWidth_(microns)	MaxCoreWidth_(microns)	AvgConcavity	StdDevConcavity	ConvexHullArea_(microns^2)	ConvexHullPerimeter_(microns)	ConvexHullConvexity	ConvexHullRoundness	LobeNumber	NoneLobeArea_(microns^2)	AvgLobeLength_(microns)	AvgApicalLobeLength_(microns)	AvgBasalLobeLength_(microns)	AvgBasalLobeWidth_(microns)	AvgEquatorLobeWidth_(microns)
39	1390.20787	223.12183	54.59896	43.17977	0.35092	0.0531	0.74668	5.73387	7.0	13.75405	3.25981	74.44725	12.65872	18.04349	1148.0	160.50234	1861.85065	161.02405	0.72169	0.67376	12.0	949.24582	4.44392	2.41419	2.02973	11.73339	20.72513
40	1355.71649	221.27774	58.69264	44.76293	0.34794	0.06996	0.69126	4.89043	6.0	11.36005	3.64682	76.21169	13.05393	15.93876	1209.0	92.39589	1961.221	169.67683	0.7668	0.59174	14.0	1016.86065	3.18775	1.81141	1.37634	11.03513	19.06816
41	481.90225	95.51452	30.78677	20.7425	0.66379	0.14106	0.89869	5.69511	6.0	6.96229	3.49053	33.21365	14.86011	15.9755	1142.0	134.12308	536.22862	86.19678	0.90245	0.81505	8.0	341.39628	3.09804	1.67188	1.42616	8.86632	16.83529
42	528.21646	113.46134	43.43423	17.61204	0.51562	0.51494	0.82978	5.00702	4.0	7.65373	3.20399	40.31806	10.4049	12.50339	919.0	215.71045	636.57607	102.44686	0.90292	0.63245	7.0	319.41169	3.99497	2.11652	1.87845	11.36166	19.00567
43	347.25884	91.0939	32.70348	16.03038	0.52588	0.37522	0.81346	5.72299	3.0	13.34256	1.9797	31.23088	7.29067	10.08056	1041.0	174.7627	426.89192	82.1098	0.90138	0.64725	6.0	201.08573	3.94536	2.08933	1.85604	9.62245	16.56665
44	829.16109	152.90447	45.02771	30.22107	0.44566	0.14354	0.75344	5.27067	5.0	12.33698	3.37592	51.8837	12.50339	15.81568	1146.0	158.33193	1100.49981	127.95306	0.83682	0.63643	9.0	566.22537	4.26186	2.53273	1.72912	11.20512	20.17433
45	369.14572	78.68476	28.5948	16.90146	0.74925	0.2325	0.94877	4.07085	3.0	8.12107	4.58458	18.97343	10.31056	13.75373	1195.0	52.45951	389.07842	74.65849	0.94883	0.83224	5.0	194.93005	4.23866	2.55027	1.68839	11.51502	27.19144
46	1129.42176	180.58966	51.02665	35.7944	0.43519	0.11588	0.76927	4.8114	5.0	13.25068	4.12612	57.77838	13.49556	16.77506	1161.0	156.73226	1468.17989	143.34397	0.79376	0.69073	9.0	733.01514	4.79645	2.96167	1.83478	13.45012	26.44077
47	1621.29036	259.47054	58.87563	49.86335	0.30262	0.0271	0.68759	5.65032	8.0	11.91202	2.30531	91.11231	12.82741	16.89116	1058.0	208.8971	2357.92075	180.29038	0.69484	0.6268	15.0	1214.33114	3.6344	1.98512	1.64928	11.34796	20.5649
48	1414.34207	237.16594	79.47178	27.48285	0.31598	0.61837	0.74953	5.71818	10.0	8.70617	3.43843	82.45418	10.6829	16.89116	1103.0	180.12218	1886.96194	184.2239	0.77677	0.52369	13.0	985.49597	4.3915	2.60891	1.78259	12.37255	22.56518
49	1588.85087	305.99967	74.44023	38.77907	0.21323	0.32844	0.63482	5.5948	8.0	15.94814	2.57883	89.60683	11.40828	14.39249	969.0	218.40559	2502.82364	190.84108	0.62366	0.54821	13.0	992.04249	5.53293	3.31316	2.21977	12.94956	25.58532
50	1177.78786	188.24339	52.48867	34.26127	0.41767	0.16197	0.7805	5.80013	7.0	12.92596	2.6793	63.82857	15.05608	16.36226	934.0	230.58404	1509.02238	147.4673	0.78339	0.68059	10.0	808.93527	5.00897	2.73298	2.27599	12.5259	21.93377
51	545.41329	106.23127	34.7179	22.4492	0.60734	0.16837	0.87424	4.69356	4.0	12.07435	3.43843	36.82599	15.74137	16.25441	1087.0	170.25569	623.87386	97.37469	0.91663	0.72284	6.0	326.73989	5.14956	2.96224	2.18733	11.4871	22.67804
52	515.12341	103.5973	32.42871	22.78628	0.60315	0.11488	0.87984	5.28108	3.0	14.38451	1.87551	39.63926	13.83872	13.83872	1155.0	125.29964	585.47411	92.61061	0.89395	0.75474	8.0	335.2406	3.05547	1.79416	1.26131	9.03538	19.47149
53	732.91743	125.20088	36.16828	28.28886	0.58756	0.05803	0.86727	5.27411	5.0	11.59122	3.06333	40.63064	14.3789	21.1544	999.0	218.35064	845.08771	110.04142	0.87892	0.76059	8.0	494.60446	4.08297	2.22894	1.85403	10.4844	21.0652
54	377.54872	82.26568	30.14538	16.92781	0.70104	0.27096	0.93718	3.17038	0.0	NaN	4.53248	21.87174	10.02223	12.65872	1042.0	190.81143	402.85543	77.35174	0.94027	0.79294	6.0	232.84125	3.16817	2.46603	0.70214	10.61587	26.45589
55	449.36506	111.88921	39.30769	17.30471	0.45106	0.45604	0.79252	5.3913	4.0	7.49744	2.96956	36.98689	3.12585	6.37551	902.0	186.60654	567.00705	96.8745	0.86581	0.60171	8.0	267.23493	3.52824	2.19252	1.33572	8.21444	17.13247
56	515.41654	109.75475	43.17522	15.76813	0.53768	0.58466	0.89135	5.30594	4.0	7.3467	2.26624	41.94381	11.86176	12.5813	1014.0	212.29461	578.24362	100.17823	0.91275	0.64539	8.0	336.70624	3.23573	1.47769	1.75803	10.02481	18.58653
57	772.00115	146.31797	46.09437	26.56298	0.45314	0.2514	0.78876	5.75577	6.0	8.62787	3.85521	48.60616	11.25306	16.83321	827.0	158.66632	978.75403	121.92324	0.83328	0.65261	9.0	491.38005	3.9424	2.19918	1.74322	9.7473	17.97054
58	305.43926	74.42885	28.39867	14.46901	0.69287	0.34554	0.93425	3.7515	3.0	7.76533	3.54263	20.2774	11.07804	11.07804	855.0	157.77516	326.93531	69.8664	0.9387	0.78632	5.0	126.63125	4.04384	2.58382	1.46003	9.59294	23.02
